Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation,Region,State Abbreviation,Census Division,CI Available Flag,Data Value Category,Year Group
2021,Kentucky,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65-74,65-74,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"6,950",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18-44,18-44,Estimated Events Attributable to Diabetes,Events ATD (in thousands),110,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Severe Vision Impairment or Blindness,"Prevalence of Self-reported Severe Vision Impairment or Blindness in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65+,65+,Estimated Cases (in thousands),Cases (in thousands),24.9,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Medium,2020-2024
2021,Kentucky,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18+,Total,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),43.7,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Medium,2020-2024
2021,Kentucky,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Rural and Urban Areas,Rural Areas,Not Stratified,Overall,Overall,Crude Rate (per 100),Crude Rate (per 100),33,32.4-33.5,32.4,32.4,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Peripheral Vascular Disease,"Prevalence of Peripheral Vascular Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Crude Rate (per 100),Crude Rate (per 100),22.1,21.8-22.3,21.8,21.8,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"14,410",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Age,18-44,18-44,Rate (per 100),Rate (per 100),3.9,2.1-5.7,2.1,5.7,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Kentucky,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Rural and Urban Areas,Urban,Not Stratified,Overall,Overall,Total Events,Total Events,"2,492",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Total Cases,Total Cases,"30,801",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,Total Events,Total Events,"2,027",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Total Cases,Total Cases,"43,245",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Hyperosmolar Hyperglycemic Nonketotic Syndrome,Hospitalizations for Hyperosmolar Hyperglycemic Nonketotic Syndrome as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",0.6,0.3-0.9,0.3,0.9,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Kentucky,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,Total Events,Total Events,"4,935",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",28.6,19.5-37.7,19.5,37.7,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,75+,75+,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",21.3,15.1-27.4,15.1,27.4,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"7,340",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",5.3,4.6-6.1,4.6,6.1,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Kentucky,Hyperosmolar Hyperglycemic Nonketotic Syndrome,Hospitalizations for Hyperosmolar Hyperglycemic Nonketotic Syndrome as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",0.7,0.6-0.8,0.6,0.8,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Kentucky,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Crude Rate (per 100),Crude Rate (per 100),35.3,35.0-35.6,35,35,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18+,Total,"Age-adjusted Rate (per 1,000)","Age-adjusted Rate (per 1,000)",5.8,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Low,2020-2024
2021,Kentucky,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",1.1,0.9-1.2,0.9,1.2,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Low,2020-2024
2021,Kentucky,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),19.9,19.4-20.3,19.4,19.4,21,POINT (-84.774971 37.64597),South,KY,East South Central,Yes,Medium,2020-2024
2021,Kentucky,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,45-64,45-64,Estimated Events Attributable to Diabetes,Events ATD (in thousands),120,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18-44,18-44,Total Events,Total Events,100,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
2021,Kentucky,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Males,Age,45-64,45-64,Total Events,Total Events,"1,276",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Females,Age,18+,Total,Total Events,Total Events,"1,000",Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,Not Available,2020-2024
2021,Kentucky,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Males,Age,75+,75+,Estimated Events Attributable to Diabetes,Events ATD (in thousands),230,Not Available,Not Available,Not Available,21,POINT (-84.774971 37.64597),South,KY,East South Central,No,High,2020-2024
