Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,95 % CI,Lower CI,Upper CI,FIPS,Geolocation,Region,State Abbreviation,Census Division,CI Available Flag,Data Value Category,Year Group
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic Other Races,Not Stratified,Overall,Overall,Total Events,Total Events,"3,348",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,65-74,65-74,Estimated Events Attributable to Diabetes,Events ATD (in thousands),"6,030",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2021,New York,Severe Vision Impairment or Blindness,"Prevalence of Self-reported Severe Vision Impairment or Blindness in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),143.5,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Hispanic,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",15.7,14.2-17.5,14.2,17.5,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2015-2019
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",20.5,19.5-21.5,19.5,21.6,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2015-2019
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,65-74,65-74,Total Events,Total Events,"5,583",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2021,New York,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),82.1,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2021,New York,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases (in thousands),Cases (in thousands),128.3,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic Other Races,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",18.6,16.6-21.1,16.6,21.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2015-2019
2021,New York,Coronary Heart Disease,"Prevalence of Self-reported Coronary Heart Disease in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases (in thousands),Cases (in thousands),93.7,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2021,New York,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Race-Ethnicity,Non-Hispanic Other Races,Age,18+,Total,Rate (per 100),Rate (per 100),16.3,13.6-19.1,13.6,19.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
2021,New York,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Females,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),9.1,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Low,2020-2024
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",2.7,2.1-3.4,2.1,3.4,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,Total Events,Total Events,"37,621",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2021,New York,Limitations in Instrumental Activities of Daily Living,"Prevalence of Self-reported Limitations in Instrumental Activities of Daily Living (IADL) in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,18-64,18-64,Estimated Cases Attributable to Diabetes (in thousands),Cases ATD (in thousands),111.4,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2021,New York,High Blood Pressure,"Prevalence of Self-reported High Blood Pressure in Adults with Diabetes, Aged 18 Years or Older",Sex,Overall,Age,65-74,65-74,Estimated Cases (in thousands),Cases (in thousands),324.1,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,45-64,45-64,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",9.3,8.3-10.4,8.3,10.4,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,Total Events,Total Events,"11,123",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Race-Ethnicity,Hispanic,Not Stratified,Overall,Overall,Total Events,Total Events,"1,482",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2021,New York,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"47,600",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2020-2024
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Females,Age,75+,75+,Total Events,Total Events,659,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,65-74,65-74,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",2.9,2.6-3.1,2.6,3.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Hyperosmolar Hyperglycemic Nonketotic Syndrome,Hospitalizations for Hyperosmolar Hyperglycemic Nonketotic Syndrome as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,Total Events,Total Events,916,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2021,New York,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,Age-adjusted,Age-adjusted,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),48,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2020-2024
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18-44,18-44,Estimated Events Attributable to Diabetes,Events ATD (in thousands),270,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Overall,Age,75+,75+,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",4.9,4.3-5.5,4.3,5.5,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,45-64,45-64,Total Events,Total Events,"1,450",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2021,New York,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),27.5,27.2-27.8,27.2,27.2,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,75+,75+,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",22.1,18.3-25.9,18.3,25.9,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,75+,75+,Estimated Events Attributable to Diabetes,Events ATD (in thousands),"1,220",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Females,Age,45-64,45-64,Total Events,Total Events,996,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Hyperosmolar Hyperglycemic Nonketotic Syndrome,Hospitalizations for Hyperosmolar Hyperglycemic Nonketotic Syndrome as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Hispanic,Not Stratified,Overall,Overall,Total Events,Total Events,295,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Race-Ethnicity,Non-Hispanic Other Races,Not Stratified,Overall,Overall,Total Events,Total Events,965,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic White,Not Stratified,Overall,Overall,Total Events,Total Events,"4,032",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic Other Races,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",10.6,9.5-12.0,9.5,12.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,65-74,65-74,Total Events,Total Events,"3,447",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18-44,18-44,Total Events,Total Events,"2,878",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,Estimated Events Attributable to Diabetes,Events ATD (in thousands),"2,230",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Males,Age,75+,75+,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",6.3,5.3-7.4,5.3,7.4,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,75+,75+,Total Events,Total Events,"1,784",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",2.3,2.2-2.5,2.2,2.5,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2021,New York,Chronic Kidney Disease,"Prevalence of Chronic Kidney Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),24.4,24.2-24.6,24.2,24.2,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65+,Total,Crude Rate (per 100),Crude Rate (per 100),21.8,21.6-22.0,21.6,21.6,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65+,Total,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"65,940",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2020-2024
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Overall,Age,18+,Total,Estimated Events Attributable to Diabetes,Events ATD (in thousands),"7,880",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",5.1,4.7-5.5,4.7,5.5,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Hyperosmolar Hyperglycemic Nonketotic Syndrome,Hospitalizations for Hyperosmolar Hyperglycemic Nonketotic Syndrome as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,Total Events,Total Events,725,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",9.3,8.6-9.9,8.6,9.9,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,65+,Total,Total Cases,Total Cases,"225,774",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2020-2024
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Males,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",6.7,6.2-7.1,6.2,7.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",7.8,7.4-8.2,7.4,8.2,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",1.6,1.3-2.0,1.3,2,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Males,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",4,3.2-4.8,3.2,4.8,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18-44,18-44,Estimated Events Attributable to Diabetes,Events ATD (in thousands),130,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Hyperosmolar Hyperglycemic Nonketotic Syndrome,Hospitalizations for Hyperosmolar Hyperglycemic Nonketotic Syndrome as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Non-Hispanic Black,Not Stratified,Overall,Overall,Total Events,Total Events,664,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,65-74,65-74,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",3,2.6-3.3,2.6,3.3,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18+,Total,"Age-adjusted Rate (per 1,000)","Age-adjusted Rate (per 1,000)",5.9,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Low,2015-2019
2019,New York,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Females,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",1.6,1.3-2.0,1.3,2,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2021,New York,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,Age-adjusted,Age-adjusted,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),39.4,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Medium,2020-2024
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,65+,Total,Crude Rate (per 100),Crude Rate (per 100),24.3,24.1-24.5,24.1,24.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
2019,New York,Congestive Heart Failure,Hospitalizations for Congestive Heart Failure as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,45-64,45-64,Total Events,Total Events,"6,066",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18-44,18-44,Estimated Events Attributable to Diabetes,Events ATD (in thousands),140,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,Total Events,Total Events,"14,281",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18-44,18-44,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",25.6,21.7-29.4,21.7,29.4,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",5.5,5.1-5.9,5.1,5.9,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Hypoglycemia,Hospitalizations for Hypoglycemia as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18-44,18-44,Total Events,Total Events,183,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,High,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Rural and Urban Areas,Urban,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",4.9,4.7-5.1,4.7,5.1,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,Total Events,Total Events,"4,212",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Race-Ethnicity,Hispanic,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",5.2,4.7-5.9,4.7,5.9,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Males,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"32,970",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2020-2024
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,75+,75+,Estimated Cases Attributable to Diabetes,Cases ATD (in thousands),"73,160",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2020-2024
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,45-64,45-64,Total Events,Total Events,"6,403",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Stroke,Hospitalizations for Stroke as First-Listed Diagnosis in Adults with Diabetes,Sex,Overall,Age,18+,Total,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",11.2,10.6-11.7,10.6,11.7,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2021,New York,Congestive Heart Failure,"Prevalence of Congestive Heart Failure in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Overall,Age,Age-adjusted,Age-adjusted,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),21.5,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Medium,2020-2024
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,65-74,65-74,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",11.5,10.0-12.9,10,12.9,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Sex,Males,Age,18+,Total,Total Events,Total Events,"5,201",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Sex,Females,Age,75+,75+,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",3.6,3.0-4.2,3,4.2,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Diabetic Ketoacidosis,Hospitalizations for Diabetic Ketoacidosis as First-Listed Diagnosis in Adults with Diabetes,Rural and Urban Areas,Rural,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",3.3,2.9-3.7,2.9,3.7,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2019,New York,Lower Extremity Amputations,Hospitalizations for Lower Extremity Amputations in Adults with Diabetes,Rural and Urban Areas,Urban,Not Stratified,Overall,Overall,"Crude Rate (per 1,000)","Crude Rate (per 1,000)",4.4,4.3-4.6,4.3,4.6,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2015-2019
2021,New York,Coronary Heart Disease,"Prevalence of Coronary Heart Disease in Medicare Beneficiaries with Diabetes, Aged 65 Years or Older",Sex,Females,Age,65-74,65-74,Crude Rate (per 100),Crude Rate (per 100),25.5,25.2-25.8,25.3,25.3,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Medium,2020-2024
2019,New York,Myocardial Infarction,Hospitalizations for Myocardial Infarction as First-Listed Diagnosis in Adults with Diabetes,Rural and Urban Areas,Urban,Not Stratified,Overall,Overall,Total Events,Total Events,"13,860",Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Not Available,2015-2019
2021,New York,Diabetes Prevalence,"Prevalence of Self-reported Diagnosed Diabetes in Adults, Aged 18 Years or Older",Sex,Males,Not Stratified,Overall,Overall,Age-adjusted Rate (per 100),Age-adjusted Rate (per 100),11.2,Not Available,Not Available,Not Available,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,No,Low,2020-2024
