Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Stratification 3,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group
2021,Oregon,Household Productivity,Annual Household Productivity Losses Attributable to Diabetes,Sex,Males,Age,18+,Total,None,Cost (Dollars) Per Person with Diabetes,Cost ($) Per PWD,323,41,POINT (-120.155031 44.567449),West,OR,Pacific,Yes,Medium,2020-2024
2021,New York,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,65-74,None,Cost Per Person with Diabetes (Dollars),Cost Per PWD ($),154,36,POINT (-75.54397 42.827001),Northeast,NY,Middle Atlantic,Yes,Low,2020-2024
2021,Connecticut,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,19+,Total,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"3,428.20",9,POINT (-72.649841 41.562661),Northeast,CT,New England,Yes,High,2020-2024
2021,District of Columbia,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,45-64,45-64,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),11.5,11,POINT (-77.031961 38.890371),South,DC,South Atlantic,Yes,Low,2020-2024
2021,New Mexico,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,45-64,45-64,None,Work Productivity Cost (Dollars in Millions),Work Productivity Cost ($ in Millions),526.7,35,POINT (-106.240581 34.520881),West,NM,Mountain,Yes,Medium,2020-2024
2021,Connecticut,Total Costs,Annual Total Costs Attributable to Diabetes,Sex,Females,Age,65+,65+,None,Total Cost per Person with Diabetes (Dollars),Total Cost per PWD ($),"19,290",9,POINT (-72.649841 41.562661),Northeast,CT,New England,Yes,High,2020-2024
2021,Nevada,Inability to Work,Annual Costs of Inability to Work Attributable to Diabetes,Sex,Males,Age,18-74,Total,None,Cost Per Person with Diabetes Unable to Work (Dollars),Cost Per PWD Unable to Work ($),"80,240",32,POINT (-117.071841 39.49324),West,NV,Mountain,Yes,High,2020-2024
2021,Maryland,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,65-74,65-74,None,Cost (Dollars) Per Employed Person with Diabetes,Cost ($) Per Employed PWD,713,24,POINT (-76.60926 39.290581),South,MD,South Atlantic,Yes,Medium,2020-2024
2021,Louisiana,Premature Mortality,Mortality Costs Attributable to Diabetes Deaths,Sex,Overall,Age,18-44,18-44,None,Total Cost (Dollars in Millions),Total Cost ($ in Millions),"1,104.50",22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,Medium,2020-2024
2021,Arizona,Absenteeism,Annual Work Absenteeism Costs Attributable to Diabetes,Sex,Females,Age,18-74,Total,None,Cost (Dollars) Per Employed Person with Diabetes,Cost ($) Per Employed PWD,964,4,POINT (-111.763811 34.86597),West,AZ,Mountain,Yes,Medium,2020-2024
