Year,Location,Short Indicator Text,Long Indicator Text,Stratification 1,Stratification Group 1,Stratification 2,Stratification Group 2,Stratification Group 2 Label,Data Type,Data Type Label,Data Value,FIPS,Geolocation,Region,State Abbreviation,Census Division,Data Value Available Flag,Data Value Category,Year Group,Location Type
2021,Hawaii,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Overall,Age,18+,Average/Total,Average YPLLs due to Diabetes,Average YPLLs ATD,3.9,15,POINT (-157.857749 21.30485),West,HI,Pacific,Yes,Low,2020-2024,State
2021,Louisiana,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,65-74,65-74,All Causes of Death (Estimated),All Causes of Death,538,22,POINT (-92.44568 31.312661),South,LA,West South Central,Yes,High,2020-2024,State
2021,Maryland,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: Cardiovascular Disease (Estimated),Deaths ATD: Cardiovascular Disease,41,24,POINT (-76.60926 39.290581),South,MD,South Atlantic,Yes,Medium,2020-2024,State
2021,Virginia,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,15+,Total,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,588,51,POINT (-78.45789 37.542681),South,VA,South Atlantic,Yes,High,2020-2024,State
2021,Utah,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Males,Age,18+,Average/Total,Average YPLLs due to Diabetes,Average YPLLs ATD,4.5,49,POINT (-111.587131 39.3607),West,UT,Mountain,Yes,Low,2020-2024,State
2021,Kansas,Cause-specific Deaths,"Diabetes-attributable deaths per 100,000 Persons Aged 15 Years or Older",Sex,Overall,Age,15+,Total,All Causes of Death (Estimated),All Causes of Death,135,20,POINT (-98.200781 38.34774),Midwest,KS,West North Central,Yes,Medium,2020-2024,State
2021,Ohio,Quality Adjusted Life Years Lost,Estimated Quality Adjusted Life Years (QALYs),Sex,Males,Age,65-74,65-74,Number of Persons with Diabetes (in thousands),PWD (in thousands),173,39,POINT (-82.40426 40.06021),Midwest,OH,East North Central,Yes,High,2020-2024,State
2021,Michigan,Years of Potential Life Lost,Estimated Years of Potential Life Lost (YPLL) due to Diabetes,Sex,Overall,Age,75+,75+,Total YPLLs due to Diabetes (in thousands),Total YPLLs ATD (in thousands),0.2,26,POINT (-84.71439 44.66132),Midwest,MI,East North Central,Yes,Low,2020-2024,State
2021,Iowa,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,75+,75+,All Causes of Death (Estimated),All Causes of Death,590,19,POINT (-93.816491 42.469401),Midwest,IA,West North Central,Yes,High,2020-2024,State
2021,Washington,Cause-specific Deaths,Number of Diabetes-attributable Deaths in Persons Aged 15 Years or Older,Sex,Females,Age,45-64,45-64,Cause-specific Diabetes-Attributable Deaths: End Stage Renal Disease,Deaths ATD: End Stage Renal Disease,118,53,POINT (-120.470011 47.522279),West,WA,Pacific,Yes,Medium,2020-2024,State
