"Year","Software Version","Patient County","PQI Number","PQI Name","Observed Rate Per 100,000 People","Expected Rate Per 100,000 People"
"2017","v2018","New York","PQI_01","Diabetes Short-Term Complications","37.45","44.75"
"2017","v2018","New York","PQI_03","Diabetes Long-Term Complications","101.57","103.93"
"2017","v2018","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","24.18","24.03"
"2017","v2018","Queens","PQI_01","Diabetes Short-Term Complications","31.53","47.32"
"2017","v2018","Queens","PQI_03","Diabetes Long-Term Complications","95.13","125.14"
"2017","v2018","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","25.68","28.99"
"2017","v2018","Richmond","PQI_01","Diabetes Short-Term Complications","34.61","40.81"
"2017","v2018","Richmond","PQI_03","Diabetes Long-Term Complications","162.33","101.51"
"2017","v2018","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","22.81","23.43"
"2016","7.0","Bronx","PQI_01","Diabetes Short-Term Complications","62.12","48.52"
"2016","7.0","Bronx","PQI_03","Diabetes Long-Term Complications","170.56","109.32"
"2016","7.0","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","38.27","27.39"
"2016","7.0","Kings","PQI_01","Diabetes Short-Term Complications","39.55","47.61"
"2016","7.0","Kings","PQI_03","Diabetes Long-Term Complications","106.05","98.03"
"2016","7.0","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","27.29","24.63"
"2016","7.0","New York","PQI_01","Diabetes Short-Term Complications","30.26","38.11"
"2016","7.0","New York","PQI_03","Diabetes Long-Term Complications","71.21","79.13"
"2016","7.0","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","19.93","20.16"
"2016","7.0","Queens","PQI_01","Diabetes Short-Term Complications","28.16","39.38"
"2016","7.0","Queens","PQI_03","Diabetes Long-Term Complications","71.16","96.44"
"2016","7.0","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","19.01","24.35"
"2016","7.0","Richmond","PQI_01","Diabetes Short-Term Complications","30.80","34.73"
"2016","7.0","Richmond","PQI_03","Diabetes Long-Term Complications","129.95","75.52"
"2016","7.0","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","21.34","19.05"
"2015","5.0","Bronx","PQI_01","Diabetes Short-Term Complications","118.17","88.11"
"2015","5.0","Bronx","PQI_03","Diabetes Long-Term Complications","256.20","161.19"
"2015","5.0","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","31.92","20.30"
"2015","5.0","Kings","PQI_01","Diabetes Short-Term Complications","72.30","82.84"
"2015","5.0","Kings","PQI_03","Diabetes Long-Term Complications","174.07","147.51"
"2015","5.0","Kings","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","19.77","18.55"
"2015","5.0","New York","PQI_01","Diabetes Short-Term Complications","56.78","62.62"
"2015","5.0","New York","PQI_03","Diabetes Long-Term Complications","109.67","117.34"
"2015","5.0","New York","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","15.73","15.04"
"2015","5.0","Queens","PQI_01","Diabetes Short-Term Complications","55.88","68.93"
"2015","5.0","Queens","PQI_03","Diabetes Long-Term Complications","116.14","141.66"
"2015","5.0","Queens","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","13.63","17.75"
"2015","5.0","Richmond","PQI_01","Diabetes Short-Term Complications","44.15","56.55"
"2015","5.0","Richmond","PQI_03","Diabetes Long-Term Complications","165.21","107.85"
"2015","5.0","Richmond","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","14.90","13.73"
"2014","5.0","Bronx","PQI_01","Diabetes Short-Term Complications","118.12","84.70"
"2014","5.0","Bronx","PQI_03","Diabetes Long-Term Complications","267.03","167.52"
"2014","5.0","Bronx","PQI_16","Lower-Extremity Amputation among Patients with Diabetes","36.68","20.33"
